content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
152,2016-03-17T13:03:15.738Z,1458194456,421,0,0,1506,1458219794,s0-r5,GigabitEthernet0/0/0/4,158681,0.0,82961,0,0,0,34,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1119,34,0,0,0,0
153,2016-03-17T13:03:15.738Z,1458194456,421,0,0,1506,1458219794,s0-r5,GigabitEthernet0/0/0/3,158510,0.0,83225,0,0,0,34,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1122,34,0,0,0,0
153,2016-03-17T13:02:15.787Z,1458194456,420,0,0,1503,1458219734,s0-r5,GigabitEthernet0/0/0/3,158192,0.0,83092,0,0,0,35,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1120,35,0,0,0,0
39832,2016-03-17T13:02:51.730Z,1458162490,7488,0,0,145903,1458219769,s0-r4,GigabitEthernet0/0/0/1,20335755,21184.0,41304218,0,0,0,2,0,0,2,9870.0,0,0,0,0,0,0,0,75.0,0,0,0,0,0,87.0,0,0,165644,2,0,0,0,0
17148,2016-03-17T13:03:24.826Z,1457449288,2066,0,0,495638,1458219798,s0-r3,GigabitEthernet0/0/0/0,117801089,2351744262.0,11871591599789,0,0,0,2,0,0,10,22080.0,0,0,0,0,0,0,884,96.0,0,0,0,0,0,1555451.0,0,0,7851992601,2,0,0,0,0
17143,2016-03-17T13:03:24.827Z,1457449290,8662,0,0,7869782234,1458219798,s0-r3,GigabitEthernet0/0/0/4,11897357197427,22396.0,395025139,0,0,0,2,0,0,68611,2355560456.0,0,0,0,0,0,0,882,1557976.0,0,0,0,0,0,99.0,0,0,1129880,2,0,0,0,0
272343,2016-03-17T13:03:24.827Z,1457449290,305477,0,0,595122,1458219798,s0-r3,GigabitEthernet0/0/0/1,371172461,10091.0,465951198,0,0,0,2,0,0,2,21156.0,0,0,0,0,0,0,885,86.0,0,0,0,0,0,76.0,0,0,1170050,2,0,0,0,0
1652,2016-03-17T13:03:25.249Z,1458146084,2969,0,0,12067,1458219801,s0-r2,GigabitEthernet0/0/0/0,3185047,196.0,733496,0,0,0,0,0,0,2,196.0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,1.0,0,0,8917,19,0,0,0,0
2,2016-03-17T13:03:25.391Z,1458064748,1739,0,0,3122,1458219799,s0-r7,GigabitEthernet0/0/0/7,2469650,0.0,182,0,0,0,57663,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,155039,0,0,0,0
2,2016-03-17T13:03:25.391Z,1458064748,1739,0,0,3122,1458219799,s0-r7,GigabitEthernet0/0/0/6,2469650,0.0,182,0,0,0,57663,0,0,1,0.0,0,0,0,0,0,0,4,0.0,0,0,0,0,0,0.0,0,0,3,155039,0,0,0,0
